,tiempo_maximo,intensidad_maxima,tiempo_minimo,intensidad_minima,tiempo_valle,intensidad_valle,sparks_amplitud,TTP,sparks_tiempo_pico50,sparks_tiempo_pico50_2,sp_tau,full_width,TTP50,FDHM,fullWidth,(ΔF/F0)/ΔTmax,fullDuration,width,high,flag
0,7.0,37.75,4.0,31.41666666666667,11.0,33.25,0.20159151193633948,3.0,6.092826958203339,,35.22961046425679,6.0,2.0928269582033403,,6.0,0.06719717064544649,7.0,14.0,12.0,1.0
1,7.0,52.9375,6.0,48.5625,8.0,43.375,0.09009009009009007,1.0,6.510779201724062,,5.019356290598825,6.0,0.5107792017240627,,6.0,0.09009009009009007,2.0,12.0,16.0,1.0
2,3.0,7.1764705882352935,2.0,6.5294117647058805,9.0,5.941176470588236,0.09909909909909932,1.0,2.5118069639614684,,42.90750139328514,-3.0,0.511806963961468,,-3.0,0.09909909909909932,7.0,13.0,17.0,1.0
3,11.0,49.94736842105264,6.0,43.31578947368421,12.0,49.52631578947368,0.15309842041312266,5.0,7.654884967039763,,118.12429452926592,9.0,1.6548849670397618,,9.0,0.030619684082624526,6.0,13.0,19.0,1.0
4,2.0,39.411764705882355,0.0,35.941176470588225,4.0,32.529411764705884,0.09656301145662864,2.0,1.2506178582593657,,10.421024453455155,12.0,1.2506178582593657,,12.0,0.04828150572831432,4.0,9.0,17.0,1.0
5,4.0,6.75,1.0,6.0,7.0,5.75,0.125,3.0,3.0320878215837217,,22.688390442071277,5.0,2.0320878215837217,,5.0,0.04166666666666666,6.0,12.0,12.0,1.0
6,1.0,39.81818181818182,0.0,38.04545454545455,7.0,34.5,0.04659498207885306,1.0,0.5056922606572792,,47.81403003627907,9.0,0.5056922606572792,,9.0,0.04659498207885306,7.0,13.0,22.0,1.0
7,16.0,7.444444444444445,3.0,5.962962962962963,17.0,7.037037037037037,0.2484472049689443,13.0,14.092180732042689,,17.768037450649494,4.0,11.092180732042689,,4.0,0.019111323459149558,14.0,18.0,27.0,1.0
8,7.0,43.875,0.0,16.5,8.0,41.75,1.6590909090909092,7.0,3.002767193284713,,20.142921890920874,4.0,3.002767193284713,,4.0,0.23701298701298704,8.0,10.0,8.0,1.0
9,7.0,56.66666666666666,6.0,48.42857142857142,8.0,53.047619047619065,0.1701081612586038,1.0,6.519616864155688,,15.152395455562965,14.0,0.5196168641556893,,14.0,0.1701081612586038,2.0,12.0,21.0,1.0
10,7.0,40.76470588235294,6.0,31.411764705882355,15.0,34.588235294117645,0.2977528089887641,1.0,6.532487472357628,,75.12793242472901,6.0,0.5324874723576274,,6.0,0.2977528089887641,9.0,19.0,17.0,1.0
11,6.0,44.153846153846146,1.0,33.384615384615394,8.0,39.384615384615394,0.3225806451612902,5.0,3.0003583511947447,,17.497082384249705,2.0,2.0003583511947447,,2.0,0.06451612903225802,7.0,10.0,13.0,1.0
12,3.0,57.77777777777778,2.0,48.55555555555557,5.0,49.55555555555557,0.18993135011441628,1.0,2.521709618873086,,13.028479120444356,3.0,0.5217096188730861,,3.0,0.18993135011441628,3.0,9.0,9.0,1.0
13,39.0,59.9375,24.0,38.625,40.0,51.625,0.5517799352750811,15.0,30.415398943284607,,6.698089576728482,7.0,6.415398943284603,,7.0,0.03678532901833873,16.0,41.0,16.0,2.0
14,7.0,6.833333333333332,2.0,6.0,9.0,5.888888888888888,0.13888888888888884,5.0,6.073386919765568,,13.445806495303282,6.0,4.073386919765567,,6.0,0.02777777777777777,7.0,16.0,18.0,1.0
15,9.0,47.9375,2.0,40.125,10.0,45.625,0.19470404984423675,7.0,4.849355090146227,,20.225609708650836,12.0,2.8493550901462257,,12.0,0.02781486426346239,8.0,13.0,16.0,1.0
16,2.0,39.46153846153846,1.0,32.846153846153854,3.0,34.153846153846146,0.20140515222482427,1.0,1.5229043737801573,,6.9227491860351815,3.0,0.5229043737801573,,3.0,0.20140515222482427,2.0,8.0,13.0,1.0
17,,,,,,,,,,,,,,,,,,11.0,14.0,1.0
18,8.0,34.93103448275862,2.0,29.58620689655173,11.0,31.896551724137932,0.18065268065268053,6.0,3.92941992581654,,37.552933079638244,16.0,1.92941992581654,,16.0,0.030108780108780087,9.0,17.0,29.0,1.0
19,7.0,56.33333333333334,6.0,48.4,8.0,44.46666666666667,0.16391184573002762,1.0,6.518955140751144,,4.227497154707766,8.0,0.5189551407511441,,8.0,0.16391184573002762,2.0,11.0,15.0,1.0
20,4.0,46.07142857142858,1.0,39.0,10.0,38.285714285714285,0.18131868131868145,3.0,2.522617741617041,,43.41233930519064,6.0,1.5226177416170406,,6.0,0.060439560439560475,9.0,12.0,14.0,1.0
21,12.0,38.333333333333336,8.0,31.83333333333333,13.0,37.083333333333336,0.2041884816753928,4.0,10.587984946458608,,30.1639040333284,6.0,2.587984946458608,,6.0,0.0510471204188482,5.0,14.0,12.0,1.0
22,5.0,6.7142857142857135,4.0,5.928571428571428,6.0,5.857142857142858,0.13253012048192786,1.0,4.51554674231516,,7.321955575410305,11.0,0.5155467423151601,,11.0,0.13253012048192786,2.0,16.0,14.0,1.0
23,8.0,40.5,3.0,32.65,11.0,32.1,0.24042879019908125,5.0,5.566182982662046,,13.291291186478205,-2.0,2.5661829826620464,,-2.0,0.04808575803981625,8.0,15.0,20.0,1.0
0,5.0,6.5294117647058805,4.0,6.0588235294117645,8.0,6.0,0.07766990291262123,1.0,4.509347972607734,,46.31091079736299,9.0,0.5093479726077339,,9.0,0.07766990291262123,4.0,15.0,17.0,1.0
1,16.0,41.714285714285715,2.0,6.380952380952383,20.0,32.8095238095238,5.53731343283582,14.0,9.685265841854168,,14.927137804023198,19.0,7.685265841854168,,19.0,0.3955223880597014,18.0,22.0,21.0,1.0
2,7.0,67.47368421052633,1.0,33.10526315789474,11.0,32.421052631578945,1.038155802861685,6.0,4.840617582715802,,5.2640643915418,10.0,3.840617582715802,,10.0,0.17302596714361418,10.0,15.0,19.0,1.0
3,3.0,42.36363636363637,1.0,37.09090909090909,9.0,32.72727272727273,0.14215686274509806,2.0,2.3115221723773187,,22.42917637241948,8.0,1.3115221723773192,,8.0,0.07107843137254903,8.0,11.0,22.0,1.0
4,5.0,81.15789473684211,3.0,35.26315789473684,14.0,26.947368421052627,1.301492537313433,2.0,4.3627581404321,,9.472119217261152,11.0,1.3627581404321,,11.0,0.6507462686567165,11.0,25.0,19.0,1.0
